state,latitude,longitude
Alabama,327.794,-868.287
Alaska,640.685,-1.522.782
Arizona,342.744,-1.116.602
Arkansas,348.938,-924.426
California,371.841,-1.194.696
Colorado,389.972,-1.055.478
Connecticut,416.219,-727.273
Delaware,389.896,-75.505
Florida,286.305,-824.497
Georgia,326.415,-834.426
Hawaii,202.927,-1.563.737
Idaho,443.509,-114.613
Illinois,400.417,-891.965
Indiana,398.942,-862.816
Iowa,420.751,-93.496
Kansas,384.937,-983.804
Kentucky,375.347,-853.021
Louisiana,310.689,-919.968
Maine,453.695,-692.428
Maryland,39.055,-767.909
Massachusetts,422.596,-718.083
Michigan,443.467,-854.102
Minnesota,462.807,-943.053
Mississippi,327.364,-896.678
Missouri,383.566,-92.458
Montana,470.527,-1.096.333
Nebraska,415.378,-997.951
Nevada,393.289,-1.166.312
New Hampshire,436.805,-715.811
New Jersey,401.907,-746.728
New Mexico,344.071,-1.061.126
New York,429.538,-755.268
North Carolina,355.557,-793.877
North Dakota,474.501,-1.004.659
Ohio,402.862,-827.937
Oklahoma,355.889,-974.943
Oregon,439.336,-1.205.583
Pennsylvania,408.781,-777.996
Rhode Island,416.762,-715.562
South Carolina,339.169,-808.964
South Dakota,444.443,-1.002.263
Tennessee,35.858,-863.505
Texas,314.757,-993.312
Utah,393.055,-1.116.703
Vermont,440.687,-726.658
Virginia,375.215,-788.537
Washington,473.826,-1.204.472
West Virginia,386.409,-806.227
Wisconsin,446.243,-899.941
Wyoming,429.957,-1.075.512
