state,latitude,longitude
Alabama,327794,-868287
Alaska,640685,-1522782
Arizona,342744,-1116602
Arkansas,348938,-924426
California,371841,-1194696
Colorado,389972,-1055478
Connecticut,416219,-727273
Delaware,389896,-75505
Florida,286305,-824497
Georgia,326415,-834426
Hawaii,202927,-1563737
Idaho,443509,-114613
Illinois,400417,-891965
Indiana,398942,-862816
Iowa,420751,-93496
Kansas,384937,-983804
Kentucky,375347,-853021
Louisiana,310689,-919968
Maine,453695,-692428
Maryland,39055,-767909
Massachusetts,422596,-718083
Michigan,443467,-854102
Minnesota,462807,-943053
Mississippi,327364,-896678
Missouri,383566,-92458
Montana,470527,-1096333
Nebraska,415378,-997951
Nevada,393289,-1166312
New Hampshire,436805,-715811
New Jersey,401907,-746728
New Mexico,344071,-1061126
New York,429538,-755268
North Carolina,355557,-793877
North Dakota,474501,-1004659
Ohio,402862,-827937
Oklahoma,355889,-974943
Oregon,439336,-1205583
Pennsylvania,408781,-777996
Rhode Island,416762,-715562
South Carolina,339169,-808964
South Dakota,444443,-1002263
Tennessee,35858,-863505
Texas,314757,-993312
Utah,393055,-1116703
Vermont,440687,-726658
Virginia,375215,-788537
Washington,473826,-1204472
West Virginia,386409,-806227
Wisconsin,446243,-899941
Wyoming,429957,-1075512
