MUNICÍPIOS,Latitude,Longitude,,,
Água Branca,"- 09º 15' 39""","37º 56' 10""",,,
Anadia,"- 09º 41' 04""","36º 18' 15""",,,
Arapiraca,"- 09º 45' 09""","36º 39' 40""",,,
Atalaia,"- 09º 30' 07""","36º 01' 22""",,,
Barra de Santo Antônio,"- 09º 24' 17""","35º 30' 26""",,,
Barra de São Miguel,"- 09º 50' 24""","35º 54' 28""",,, 
Batalha,"- 09º 40' 40""","37º 07' 29""",,,
Belém,"- 09º 34' 16""","36º 29' 32""",,,
Belo Monte,"- 09º 49' 42""","37º 16' 48""",,,
Boca da Mata,"- 09º 38' 29""","36º 13' 13""",,,
Branquinha,"- 09º 14' 44""","36º 00' 55""",,,
Cacimbinhas,"- 09º 24' 01""","36º 59' 25""",,,
Cajueiro,"- 09º 23' 48""","36º 09' 13""",,,
Campestre,"- 08º 50' 45""","35º 34' 05""",,,
Campo Alegre,"- 09º 46' 55""","36º 21' 03""",,,
Campo Grande,"- 09º 57' 28""","36º 47' 30""",,,
Canapi,"- 09º 07' 01""","37º 36' 08""",,,
Capela,"- 09º 24' 27""","36º 04' 25""",,,
Carneiros,"- 09º 28' 57""","37º 22' 38""",,,
Chã Preta,"- 09º 15' 19""","36º 17' 46""",,,
Coité do Nóia,"- 09º 37' 56""","36º 34' 43""",,,
Colônia Leopoldina,"- 08º 54' 32""","35º 43' 30""",,,
Coqueiro Seco,"- 09º 38' 18""","35º 48' 11""",,,
Coruripe,"- 10º 07' 32""","36º 10' 32""",,,
Craíbas,"- 09º 37' 05""","36º 46' 05""",,,
Delmiro Gouveia,"- 09º 23' 19""","37º 59' 57""",,,
Dois Riachos,"- 09º 23' 33""","37º 06' 02""",,,
Estrela de Alagoas,"- 09º 23' 25""","36º 45' 36""",,,
Feira Grande,"- 09º 54' 01""","36º 40' 39""",,,
Feliz Deserto,"- 10º 17' 31""","36º 18' 22""",,,
Flexeiras,"- 09º 11' 51""","35º 46' 51""",,,
Girau do Ponciano,"- 09º 53' 03""","36º 49' 44""",,,
Ibateguara,"- 08º 58' 21""","35º 56' 22""",,,
Igaci,"- 09º 32' 13""","36º 38' 01""",,,
Igreja Nova,"- 10º 07' 31""","36º 39' 43""",,,
Inhapi,"- 09º 13' 17""","37º 44' 55""",,,
Jacaré dos Homens,"- 09º 38' 08""","37º 12' 17""",,,
Jacuípe,"- 08º 50' 30""","35º 27' 36""",,,
Japaratinga,"- 09º 05' 18""","35º 15' 30""",,,
Jaramataia,"- 09º 39' 34""","37º 00' 07""",,,
Jequiá da Praia,"- 10º 00' 51""","36º 01' 47""",,,
Joaquim Gomes,"- 09º 08' 00""","35º 44' 54""",,,
Jundiá,"- 08º 56' 05""","35º 34' 25""",,,
Junqueiro,"- 09º 55' 31""","36º 28' 33""",,,
Lagoa da Canoa,"- 09º 49' 47""","36º 44' 16""",,,
Limoeiro de Anadia,"- 09º 44' 26""","36º 30' 10""",,,
Maceió,"- 09º 39' 57""","35º 44' 07""",,,
Major Isidoro,"- 09º 31' 56""","36º 59' 06""",,,
Mar Vermelho,"- 09º 26' 51""","36º 23' 17""",,,
Maragogi,"- 09º 00' 44""","35º 13' 21""",,,
Maravilha,"- 09º 14' 08""","37º 21' 00""",,,
Marechal Deodoro,"- 09º 42' 37""","35º 53' 42""",,,
Maribondo,"- 09º 34' 38""","36º 18' 19""",,,
Mata Grande,"- 09º 07' 03""","37º 43' 56""",,,
Matriz de Camaragibe,"- 09º 09' 06""","35º 32' 00""",,,
Messias,"- 09º 23' 00""","35º 50' 30""",,,
Minador do Negrão,"- 09º 18' 19""","36º 51' 53""",,,
Monteirópolis,"- 09º 36' 10""","37º 14' 54""",,,
Murici,"- 09º 18' 24""","35º 56' 36""",,,
Novo Lino,"- 08º 54' 54""","35º 38' 48""",,,
Olho d'Água das Flores,"- 09º 32' 10""","37º 17' 38""",,,
Olho d'Água do Casado,"- 09º 30' 07""","37º 50' 02""",,,
Olho d'Água Grande,"- 10º 03' 30""","36º 49' 00""",,,
Olivença,"- 09º 31' 07""","37º 11' 26""",,,
Ouro Branco,"- 09º 10' 00""","37º 21' 24""",,,
Palestina,"- 09º 40' 19""","37º 19' 45""",,,
Palmeira dos Índios,"- 09º 24' 26""","36º 37' 39""",,,
Pão de Açúcar,"- 09º 44' 54""","37º 26' 12""",,,
Pariconha,"- 09º 15' 10""","38º 00' 17""",,,
Paripueira,"- 09º 27' 54""","35º 33' 06""",,,
Passo de Camaragibe,"- 09º 14' 18""","35º 29' 36""",,,
Paulo Jacinto,"- 09º 21' 58""","36º 22' 11""",,,
Penedo,"- 10º 17' 25""","36º 35' 11""",,,
Piaçabuçu,"- 10º 24' 20""","36º 26' 04""",,,
Pilar,"- 09º 35' 50""","35º 57' 24""",,,
Pindoba,"- 09º 28' 31""","36º 17' 24""",,,
Piranhas,"- 09º 37' 25""","37º 45' 24""",,,
Poço das Trincheiras,"- 09º 18' 45""","37º 17' 08""",,,
Porto Calvo,"- 09º 02' 42""","35º 23' 54""",,,
Porto de Pedras,"- 09º 09' 30""","35º 17' 42""",,,
Porto Real do Colégio,"- 10º 11' 09""","36º 50' 24""",,,
Quebrangulo,"- 09º 19' 08""","36º 28' 16""",,,
Rio Largo,"- 09º 28' 42""","35º 51' 12""",,,
Roteiro,"- 09º 49' 58""","35º 58' 40""",,,
Santa Luzia do Norte,"- 09º 36' 12""","35º 49' 21""",,,
Santana do Ipanema,"- 09º 22' 42""","37º 14' 43""",,,
Santana do Mundaú,"- 09º 10' 05""","36º 13' 20""",,,
São Brás,"- 10º 07' 40""","36º 54' 02""",,,
São José da Laje,"- 09º 00' 35""","36º 03' 30""",,,
São José da Tapera,"- 09º 33' 30""","37º 22' 52""",,,
São Luís do Quitunde,"- 09º 19' 06""","35º 33' 40""",,,
São Miguel dos Campos,"- 09º 46' 52""","36º 05' 37""",,,
São Miguel dos Milagres,"- 09º 15' 56""","35º 22' 23""",,,
São Sebastião,"- 09º 56' 01""","36º 33' 15""",,,
Satuba,"- 09º 33' 48""","35º 49' 28""",,,
Senador Rui Palmeira,"- 09º 27' 59""","37º 27' 25""",,,
Tanque d'Arca,"- 09º 31' 55""","36º 25' 58""",,,
Taquarana,"- 09º 38' 42""","36º 29' 50""",,,
Teotônio Vilela,"- 09º 54' 19""","36º 21' 10""",,,
Traipu,"- 09º 58' 14""","37º 00' 12""",,,
União dos Palmares,"- 09º 09' 46""","36º 01' 55""",,,
Viçosa,"- 09º 22' 17""","36º 14' 27""",,,
