state1,state2,distance,estoque
Água Branca,Água Branca,0.0,0
Anadia,Água Branca,1.6860275926597024,4
Arapiraca,Água Branca,1.3665142191397448,4
Atalaia,Água Branca,1.92846545531562,4
Barra de Santo Antônio,Água Branca,2.433147189734637,4
Barra de São Miguel,Água Branca,2.109400421657514,4
Batalha,Água Branca,0.9122470053474616,4
Belém,Água Branca,1.4768505079524723,4
Belo Monte,Água Branca,0.8674895043304275,4
Boca da Mata,Água Branca,1.7575285370775515,4
Branquinha,Água Branca,1.9208940899847329,4
Cacimbinhas,Água Branca,0.9560572407188088,4
Cajueiro,Água Branca,1.7876680185214593,4
Campestre,Água Branca,2.404144778127454,4
Campo Alegre,Água Branca,1.66873078201354,4
Campo Grande,Água Branca,1.3399569564212668,4
Canapi,Água Branca,0.3635736548061949,4
Capela,Água Branca,1.8682658700278985,4
Carneiros,Água Branca,0.601242797241319,4
Chã Preta,Água Branca,1.640009409789326,4
Coité do Nóia,Água Branca,1.4073862145090414,4
Colônia Leopoldina,Água Branca,2.2389455637987963,4
Coqueiro Seco,Água Branca,2.1662022650450785,4
Coruripe,Água Branca,1.961453641002622,4
Craíbas,Água Branca,1.2214587577620293,4
Delmiro Gouveia,Água Branca,0.1424891700454698,4
Dois Riachos,Água Branca,0.8458659453665555,4
Estrela de Alagoas,Água Branca,1.18321308726558,4
Feira Grande,Água Branca,1.4117333765776023,4
Feliz Deserto,Água Branca,1.9287535154749031,4
Flexeiras,Água Branca,2.156208109272809,4
Girau do Ponciano,Água Branca,1.270624056842601,4
Ibateguara,Água Branca,2.0173779737294897,4
Igaci,Água Branca,1.3314441767040093,4
Igreja Nova,Água Branca,1.539728837157794,4
Inhapi,Água Branca,0.1916040557961415,4
Jacaré dos Homens,Água Branca,0.8217946523416177,4
Jacuípe,Água Branca,2.5113396681875466,4
Japaratinga,Água Branca,2.683328171722663,4
Jaramataia,Água Branca,1.015656526101387,4
Jequiá da Praia,Água Branca,2.049836507331775,4
Joaquim Gomes,Água Branca,2.191489871055365,4
Jundiá,Água Branca,2.384901403997681,4
Junqueiro,Água Branca,1.6043371241807955,4
Lagoa da Canoa,Água Branca,1.3265132286106316,4
Limoeiro de Anadia,Água Branca,1.5114820061576189,4
Maceió,Água Branca,2.237787380675628,4
Major Isidoro,Água Branca,0.9890724314686752,4
Mar Vermelho,Água Branca,1.5592692030341868,4
Maragogi,Água Branca,2.7249757332705835,4
Maravilha,Água Branca,0.5866559473978602,4
Marechal Deodoro,Água Branca,2.0900083436539654,4
Maribondo,Água Branca,1.661240286690478,4
Mata Grande,Água Branca,0.2492290582110926,4
Matriz de Camaragibe,Água Branca,2.405256412629188,4
Messias,Água Branca,2.098023779861464,4
Minador do Negrão,Água Branca,1.0723103374846903,4
Monteirópolis,Água Branca,0.7680913192396812,4
Murici,Água Branca,1.993304785036498,4
Novo Lino,Água Branca,2.31541714570873,4
Olho d'Água das Flores,Água Branca,0.6987325938113391,4
Olho d'Água do Casado,Água Branca,0.2618853768679767,4
Olho d'Água Grande,Água Branca,1.374467938584789,4
Olivença,Água Branca,0.7888615018720273,4
Ouro Branco,Água Branca,0.5870461866911649,4
Palestina,Água Branca,0.7330715547072998,4
Palmeira dos Índios,Água Branca,1.3167736126280716,4
Pão de Açúcar,Água Branca,0.6979262160761854,4
Pariconha,Água Branca,0.0690823895302541,4
Paripueira,Água Branca,2.393169307930337,4
Passo de Camaragibe,Água Branca,2.4428813973676533,4
Paulo Jacinto,Água Branca,1.5699227884607547,4
Penedo,Água Branca,1.6974999090892509,4
Piaçabuçu,Água Branca,1.8882244950818687,4
Pilar,Água Branca,2.00782414399515,4
Pindoba,Água Branca,1.660020545016399,4
Piranhas,Água Branca,0.4047320406038508,4
Poço das Trincheiras,Água Branca,0.6526039957804752,4
Porto Calvo,Água Branca,2.546939354825805,4
Porto de Pedras,Água Branca,2.643099345699021,4
Porto Real do Colégio,Água Branca,1.4342540109413044,4
Quebrangulo,Água Branca,1.4661498721245494,4
Rio Largo,Água Branca,2.0941035126289576,4
Roteiro,Água Branca,2.040144576243382,4
Santa Luzia do Norte,Água Branca,2.141181491376272,4
Santana do Ipanema,Água Branca,0.700754553638034,4
Santana do Mundaú,Água Branca,1.7163982170540064,4
São Brás,Água Branca,1.3505435862625994,4
São José da Laje,Água Branca,1.8944936454999035,4
São José da Tapera,Água Branca,0.6297072732627433,4
São Luís do Quitunde,Água Branca,2.3756959506637205,4
São Miguel dos Campos,Água Branca,1.9145483060109332,4
São Miguel dos Milagres,Água Branca,2.563059905707809,4
São Sebastião,Água Branca,1.5370102100514698,4
Satuba,Água Branca,2.1332234672230435,4
Senador Rui Palmeira,Água Branca,0.5213959923745047,4
Tanque d'Arca,Água Branca,1.5275838260727377,4
Taquarana,Água Branca,1.4892901874200613,4
Teotônio Vilela,Água Branca,1.7094598814888102,4
Traipu,Água Branca,1.1720836213479404,4
União dos Palmares,Água Branca,1.9066896932694004,4
Viçosa,Água Branca,1.698878828725389,4
Água Branca,Anadia,1.6860275926597024,73
Anadia,Anadia,0.0,0
