MUNICÍPIOS,Latitude,Longitude,lati_formt,long_formt
Água Branca,"- 09º 15' 39""","-37º 56' 10""",9.260833333333334,37.93611111111111
Anadia,"- 09º 41' 04""","-36º 18' 15""",9.684444444444445,36.30416666666667
Arapiraca,"- 09º 45' 09""","-36º 39' 40""",9.7525,36.66111111111111
Atalaia,"- 09º 30' 07""","-36º 01' 22""",9.501944444444444,36.022777777777776
Barra de Santo Antônio,"- 09º 24' 17""","-35º 30' 26""",9.404722222222222,35.507222222222225
Barra de São Miguel,"- 09º 50' 24""","-35º 54' 28""",9.84,35.907777777777774
Batalha,"- 09º 40' 40""","-37º 07' 29""",9.677777777777777,37.124722222222225
Belém,"- 09º 34' 16""","-36º 29' 32""",9.571111111111112,36.492222222222225
Belo Monte,"- 09º 49' 42""","-37º 16' 48""",9.828333333333333,37.28
Boca da Mata,"- 09º 38' 29""","-36º 13' 13""",9.641388888888889,36.22027777777778
Branquinha,"- 09º 14' 44""","-36º 00' 55""",9.245555555555555,36.015277777777776
Cacimbinhas,"- 09º 24' 01""","-36º 59' 25""",9.400277777777777,36.99027777777778
Cajueiro,"- 09º 23' 48""","-36º 09' 13""",9.396666666666667,36.15361111111111
Campestre,"- 08º 50' 45""","-35º 34' 05""",8.845833333333333,35.56805555555556
Campo Alegre,"- 09º 46' 55""","-36º 21' 03""",9.781944444444445,36.350833333333334
Campo Grande,"- 09º 57' 28""","-36º 47' 30""",9.957777777777777,36.791666666666664
Canapi,"- 09º 07' 01""","-37º 36' 08""",9.116944444444444,37.602222222222224
Capela,"- 09º 24' 27""","-36º 04' 25""",9.4075,36.07361111111111
Carneiros,"- 09º 28' 57""","-37º 22' 38""",9.4825,37.37722222222222
Chã Preta,"- 09º 15' 19""","-36º 17' 46""",9.255277777777778,36.29611111111111
Coité do Nóia,"- 09º 37' 56""","-36º 34' 43""",9.632222222222223,36.578611111111115
Colônia Leopoldina,"- 08º 54' 32""","-35º 43' 30""",8.908888888888889,35.725
Coqueiro Seco,"- 09º 38' 18""","-35º 48' 11""",9.638333333333334,35.80305555555555
Coruripe,"- 10º 07' 32""","-36º 10' 32""",10.125555555555556,36.175555555555555
Craíbas,"- 09º 37' 05""","-36º 46' 05""",9.618055555555555,36.768055555555556
Delmiro Gouveia,"- 09º 23' 19""","-37º 59' 57""",9.38861111111111,37.99916666666667
Dois Riachos,"- 09º 23' 33""","-37º 06' 02""",9.3925,37.10055555555556
Estrela de Alagoas,"- 09º 23' 25""","-36º 45' 36""",9.390277777777778,36.76
Feira Grande,"- 09º 54' 01""","-36º 40' 39""",9.900277777777777,36.677499999999995
Feliz Deserto,"- 10º 17' 31""","-36º 18' 22""",10.291944444444445,36.30611111111111
Flexeiras,"- 09º 11' 51""","-35º 46' 51""",9.1975,35.780833333333334
Girau do Ponciano,"- 09º 53' 03""","-36º 49' 44""",9.884166666666665,36.82888888888889
Ibateguara,"- 08º 58' 21""","-35º 56' 22""",8.9725,35.93944444444444
Igaci,"- 09º 32' 13""","-36º 38' 01""",9.536944444444444,36.63361111111111
Igreja Nova,"- 10º 07' 31""","-36º 39' 43""",10.125277777777779,36.661944444444444
Inhapi,"- 09º 13' 17""","-37º 44' 55""",9.221388888888889,37.74861111111111
Jacaré dos Homens,"- 09º 38' 08""","-37º 12' 17""",9.635555555555555,37.20472222222222
Jacuípe,"- 08º 50' 30""","-35º 27' 36""",8.841666666666667,35.46
Japaratinga,"- 09º 05' 18""","-35º 15' 30""",9.088333333333335,35.25833333333333
Jaramataia,"- 09º 39' 34""","-37º 00' 07""",9.659444444444444,37.00194444444445
Jequiá da Praia,"- 10º 00' 51""","-36º 01' 47""",10.014166666666666,36.02972222222222
Joaquim Gomes,"- 09º 08' 00""","-35º 44' 54""",9.133333333333333,35.748333333333335
Jundiá,"- 08º 56' 05""","-35º 34' 25""",8.934722222222222,35.57361111111111
Junqueiro,"- 09º 55' 31""","-36º 28' 33""",9.925277777777778,36.475833333333334
Lagoa da Canoa,"- 09º 49' 47""","-36º 44' 16""",9.829722222222221,36.73777777777778
