state1,state2,distance
Alabama,Alabama,0.0
Alabama,Alaska,725440.8886366966
Alabama,Arizona,248764.631177746
Alabama,Arkansas,59988.79942956018
Alabama,California,329367.53557386313
Alabama,Colorado,197247.4946989188
Alabama,Connecticut,166444.97235122483
Alabama,Delaware,795210.637459032
Alabama,Florida,60323.30578640398
Alabama,Georgia,33889.068473476815
Alabama,Hawaii,706570.9236792864
Alabama,Idaho,762505.3832603414
Alabama,Illinois,76385.52096438172
Alabama,Indiana,71358.03910562565
Alabama,Iowa,780347.421043986
Alabama,Kansas,128877.84812759717
Alabama,Kentucky,49943.35356181041
Alabama,Louisiana,54438.10049955821
Alabama,Maine,216280.95080704635
Alabama,Maryland,305689.30796643835
Alabama,Massachusetts,177619.42692171934
Alabama,Michigan,116539.50898300542
Alabama,Minnesota,154332.31976809006
Alabama,Mississippi,28394.256126900033
Alabama,Missouri,777831.0569943836
Alabama,Montana,269031.0156933583
Alabama,Nebraska,156472.71312276783
Alabama,Nevada,305136.84741440194
Alabama,New Hampshire,187436.19900382104
Alabama,New Jersey,142370.3875460062
Alabama,New Mexico,193524.7287816211
Alabama,New York,152069.5100833826
Alabama,North Carolina,79420.60355474516
Alabama,North Dakota,200300.43992213297
Alabama,Ohio,85225.15546480393
Alabama,Oklahoma,110294.2943265879
Alabama,Oregon,355260.76251114474
Alabama,Pennsylvania,121290.39059216522
Alabama,Rhode Island,176749.06123937404
Alabama,South Carolina,60403.71639228831
Alabama,South Dakota,177641.65552313454
Alabama,Tennessee,291975.1626765537
Alabama,Texas,125702.87981585784
Alabama,Utah,256845.29814072905
Alabama,Vermont,181117.6498577651
Alabama,Virginia,92783.69329251774
Alabama,Washington,366531.98939383175
Alabama,West Virginia,85364.8746557974
Alabama,Wisconsin,122605.633300432
Alabama,Wyoming,231039.99479310936
Alaska,Alabama,725440.8886366966
Alaska,Alaska,0.0
Alaska,Arizona,503737.0662170891
Alaska,Arkansas,665692.282323447
Alaska,California,424166.85364606226
Alaska,Colorado,530311.2640563088
Alaska,Connecticut,826570.9614044036
Alaska,Delaware,1468845.0691785025
Alaska,Florida,783062.6575345041
Alaska,Georgia,756703.1225229615
Alaska,Hawaii,439669.62436470407
Alaska,Idaho,1421906.5748272634
Alaska,Illinois,675025.0360638485
Alaska,Indiana,702847.6358393759
Alaska,Iowa,1446108.3756593072
Alaska,Kansas,596577.1735391826
Alaska,Kentucky,720405.4770509453
Alaska,Louisiana,687227.821476983
Alaska,Maine,851148.0631570515
Alaska,Maryland,965293.6874490582
Alaska,Massachusetts,833728.5484628675
Alaska,Michigan,697156.9994800311
Alaska,Minnesota,606404.3999881598
Alaska,Mississippi,700125.8942911625
Alaska,Missouri,1453250.4688239396
Alaska,Montana,459143.21792334033
Alaska,Nebraska,571148.6871297176
Alaska,Nevada,433907.4114554855
Alaska,New Hampshire,832327.6093227954
Alaska,New Jersey,811957.3536830613
Alaska,New Mexico,548731.3799410418
Alaska,New York,796028.1375711539
Alaska,North Carolina,782687.9808767987
Alaska,North Dakota,544121.8291752316
Alaska,Ohio,734417.6967870531
Alaska,Oklahoma,617443.3832644091
Alaska,Oregon,375708.16520538914
Alaska,Pennsylvania,780054.9025626337
Alaska,Rhode Island,837702.5953934964
Alaska,South Carolina,774885.8208665326
Alaska,South Dakota,556283.1580454329
Alaska,Tennessee,894685.3428205919
Alaska,Texas,621745.5605663783
Alaska,Utah,475626.71407417813
Alaska,Vermont,820860.9037955212
Alaska,Virginia,780762.4740758229
Alaska,Washington,359392.7962285833
Alaska,West Virginia,760333.7110775767
Alaska,Wisconsin,652486.4769824735
Alaska,Wyoming,494425.6697259963
Arizona,Alabama,248764.631177746
Arizona,Alaska,503737.0662170891
Arizona,Arizona,0.0
Arizona,Arkansas,192275.79309939148
Arizona,California,83338.51597550798
Arizona,Colorado,77243.94707677748
Arizona,Connecticut,396201.5217865777
Arizona,Delaware,1042164.226268106
Arizona,Florida,297507.46502566955
Arizona,Georgia,282648.0695440887
Arizona,Hawaii,468485.32710641
Arizona,Idaho,1007042.9689670645
Arizona,Illinois,231922.30746092537
Arizona,Indiana,259933.73963377665
Arizona,Iowa,1026075.5231877428
Arizona,Kansas,139339.72173432814
Arizona,Kentucky,265589.7196240848
Arizona,Louisiana,199229.64885026525
Arizona,Maine,438444.64494049875
Arizona,Maryland,462400.0616025046
Arizona,Massachusetts,406440.32189855375
Arizona,Michigan,281160.75958248513
Arizona,Minnesota,211031.70228664696
Arizona,Mississippi,220461.13076005032
Arizona,Missouri,1024957.2519963942
Arizona,Montana,129380.5528276951
Arizona,Nebraska,139117.78375534882
Arizona,Nevada,70893.44909792441
Arizona,New Hampshire,411680.5769064166
Arizona,New Jersey,374575.8086756271
Arizona,New Mexico,55491.8688187738
Arizona,New York,371611.9723475012
Arizona,North Carolina,322979.25412323314
Arizona,North Dakota,172890.55005407322
Arizona,Ohio,294858.7053980262
Arizona,Oklahoma,142267.57643960902
Arizona,Oregon,131330.24337524088
Arizona,Pennsylvania,344985.3744798466
Arizona,Rhode Island,407813.3714384559
Arizona,South Carolina,307658.77148067794
Arizona,South Dakota,153023.17968856875
Arizona,Tennessee,397790.28193886287
Arizona,Texas,126426.64382557974
Arizona,Utah,50311.101379317864
Arizona,Vermont,402056.1582478249
Arizona,Virginia,329668.0300939113
Arizona,Washington,157808.83252847416
Arizona,West Virginia,313431.4484061866
Arizona,Wisconsin,240112.5401181704
Arizona,Wyoming,96407.96372188347
Arkansas,Alabama,59988.79942956018
Arkansas,Alaska,665692.282323447
Arkansas,Arizona,192275.79309939148
Arkansas,Arkansas,0.0
Arkansas,California,271238.6777526391
Arkansas,Colorado,137325.9475117503
Arkansas,Connecticut,208317.15812673714
Arkansas,Delaware,849908.4786051967
Arkansas,Florida,117935.14204850054
Arkansas,Georgia,92775.45757903864
Arkansas,Hawaii,655772.6487449748
Arkansas,Idaho,815316.3613040033
Arkansas,Illinois,60858.88564540103
Arkansas,Indiana,79348.54829169845
Arkansas,Iowa,834027.4407170305
Arkansas,Kansas,69438.281120719
Arkansas,Kentucky,76132.18311594643
Arkansas,Louisiana,38507.91821171329
Arkansas,Maine,254552.7470937998
Arkansas,Maryland,347167.17151539546
Arkansas,Massachusetts,219095.72020694517
Arkansas,Michigan,117818.49098083033
Arkansas,Minnesota,115382.46959568858
Arkansas,Mississippi,35148.10065992187
Arkansas,Missouri,832688.3278922553
Arkansas,Montana,210560.92127932952
Arkansas,Nebraska,99096.91834260034
Arkansas,Nevada,245918.37710305426
Arkansas,New Hampshire,226364.36979789907
Arkansas,New Jersey,185424.63203415019
Arkansas,New Mexico,136786.61370543536
Arkansas,New York,187378.7313544416
Arkansas,North Carolina,130716.68815419094
Arkansas,North Dakota,149008.0576948777
Arkansas,Ohio,110534.72258525825
Arkansas,Oklahoma,50992.976869368984
Arkansas,Oregon,295332.113142137
Arkansas,Pennsylvania,158186.37599047524
Arkansas,Rhode Island,219600.24014558818
Arkansas,South Carolina,115874.53044133555
Arkansas,South Dakota,123206.34559145076
Arkansas,Tennessee,318952.11966845434
Arkansas,Texas,76900.07644339504
Arkansas,Utah,197273.29879636524
Arkansas,Vermont,218013.90053159455
Arkansas,Virginia,138406.28977759645
Arkansas,Washington,306631.3334608843
Arkansas,West Virginia,123996.2880170209
Arkansas,Wisconsin,100338.3189514355
Arkansas,Wyoming,171438.20390158083
California,Alabama,329367.53557386313
California,Alaska,424166.85364606226
California,Arizona,83338.51597550798
California,Arkansas,271238.6777526391
California,California,0.0
California,Colorado,140393.67751077682
California,Connecticut,469524.93843564903
California,Delaware,1119336.623856291
California,Florida,379952.2429161328
California,Georgia,363122.56109473563
California,Hawaii,405861.05883294594
California,Idaho,1082458.1234916204
California,Illinois,304076.7109414991
California,Indiana,332984.6822317807
California,Iowa,1102285.6381628131
California,Kansas,211298.22734703668
California,Kentucky,341692.98743316345
California,Louisiana,281451.66741023224
California,Maine,508894.1158433648
California,Maryland,541196.512521099
California,Massachusetts,479307.85701258853
California,Michigan,348043.90055278945
California,Minnesota,267579.9181646485
California,Mississippi,301318.6550033038
California,Missouri,1102300.3602779962
California,Montana,139334.8713172693
California,Nebraska,201504.50464939984
California,Nevada,35576.23026685093
California,New Hampshire,483271.3156406037
California,New Jersey,448975.82716667495
California,New Mexico,136426.23574664808
California,New York,443199.6288276875
California,North Carolina,401149.6471605079
California,North Dakota,215993.37251175093
California,Ohio,368068.5622570882
California,Oklahoma,220331.22182977156
California,Oregon,68367.40300757372
California,Pennsylvania,418334.1410881976
California,Rhode Island,481235.16724882025
California,South Carolina,387113.20748328906
California,South Dakota,205673.3086547693
California,Tennessee,471775.42832368874
California,Texas,209318.17530257616
California,Utah,80826.6159442544
California,Vermont,473074.3505623614
California,Virginia,406173.01382169646
California,Washington,102452.47874502598
California,West Virginia,388742.0617646102
California,Wisconsin,304000.2757054671
California,Wyoming,132598.2477712281
Colorado,Alabama,197247.4946989188
Colorado,Alaska,530311.2640563088
Colorado,Arizona,77243.94707677748
Colorado,Arkansas,137325.9475117503
Colorado,California,140393.67751077682
Colorado,Colorado,0.0
Colorado,Connecticut,329252.8314745372
Colorado,Delaware,979973.00294702
Colorado,Florida,253177.9398960344
Colorado,Georgia,230007.56281696478
Colorado,Hawaii,541583.8283276191
Colorado,Idaho,942386.9473809578
Colorado,Illinois,163846.26695167637
Colorado,Indiana,192870.70058461445
Colorado,Iowa,962474.2672741958
Colorado,Kansas,71850.63326791213
Colorado,Kentucky,202984.54984062212
Colorado,Louisiana,156999.21716046866
Colorado,Maine,368599.9501207237
Colorado,Maryland,453694.4683925516
Colorado,Massachusetts,338968.5994321598
Colorado,Michigan,208360.285085714
Colorado,Minnesota,133956.40279583502
Colorado,Mississippi,170696.22627345924
Colorado,Missouri,963041.3060902425
Colorado,Montana,90322.97077709524
Colorado,Nebraska,62887.36411235567
Colorado,Nevada,110883.62388107633
Colorado,New Hampshire,342880.44677117415
Colorado,New Jersey,308980.5927966998
Colorado,New Mexico,46247.18050865371
Colorado,New York,302806.06410044036
Colorado,North Carolina,263855.02728960844
Colorado,North Dakota,98629.21779067296
Colorado,Ohio,227905.81120498004
Colorado,Oklahoma,87450.1979071517
Colorado,Oregon,158013.65612186815
Colorado,Pennsylvania,278118.7494668419
