state1,state2,distance,estoque
Alabama,Alabama,0.0,0
Alaska,Alabama,725440.8886366966,52
Arizona,Alabama,248764.631177746,52
Arkansas,Alabama,59988.79942956018,52
California,Alabama,329367.53557386313,52
Colorado,Alabama,197247.4946989188,52
Connecticut,Alabama,166444.97235122483,52
Delaware,Alabama,795210.637459032,52
Florida,Alabama,60323.30578640398,52
Georgia,Alabama,33889.068473476815,52
Hawaii,Alabama,706570.9236792864,52
Idaho,Alabama,762505.3832603414,52
Illinois,Alabama,76385.52096438172,52
Indiana,Alabama,71358.03910562565,52
Iowa,Alabama,780347.421043986,52
Kansas,Alabama,128877.84812759716,52
Kentucky,Alabama,49943.35356181041,52
Louisiana,Alabama,54438.10049955821,52
Maine,Alabama,216280.95080704635,52
Maryland,Alabama,305689.30796643835,52
Massachusetts,Alabama,177619.42692171934,52
Michigan,Alabama,116539.50898300542,52
Minnesota,Alabama,154332.31976809006,52
Mississippi,Alabama,28394.256126900036,52
Missouri,Alabama,777831.0569943836,52
Montana,Alabama,269031.0156933583,52
Nebraska,Alabama,156472.71312276783,52
Nevada,Alabama,305136.84741440194,52
New Hampshire,Alabama,187436.19900382104,52
New Jersey,Alabama,142370.3875460062,52
New Mexico,Alabama,193524.7287816211,52
New York,Alabama,152069.5100833826,52
North Carolina,Alabama,79420.60355474516,52
North Dakota,Alabama,200300.43992213297,52
Ohio,Alabama,85225.15546480393,52
Oklahoma,Alabama,110294.2943265879,52
Oregon,Alabama,355260.76251114474,52
Pennsylvania,Alabama,121290.39059216522,52
Rhode Island,Alabama,176749.06123937404,52
South Carolina,Alabama,60403.71639228831,52
South Dakota,Alabama,177641.65552313454,52
Tennessee,Alabama,291975.1626765537,52
Texas,Alabama,125702.87981585784,52
Utah,Alabama,256845.29814072905,52
Vermont,Alabama,181117.6498577651,52
Virginia,Alabama,92783.69329251774,52
Washington,Alabama,366531.98939383175,52
West Virginia,Alabama,85364.8746557974,52
Wisconsin,Alabama,122605.633300432,52
Wyoming,Alabama,231039.99479310936,52
Alabama,Alaska,725440.8886366966,37
Alaska,Alaska,0.0,0
Arizona,Alaska,503737.0662170891,37
Arkansas,Alaska,665692.282323447,37
California,Alaska,424166.8536460623,37
Colorado,Alaska,530311.2640563088,37
Connecticut,Alaska,826570.9614044036,37
Delaware,Alaska,1468845.0691785023,37
Florida,Alaska,783062.6575345041,37
Georgia,Alaska,756703.1225229615,37
Hawaii,Alaska,439669.62436470407,37
Idaho,Alaska,1421906.5748272634,37
Illinois,Alaska,675025.0360638485,37
Indiana,Alaska,702847.6358393759,37
Iowa,Alaska,1446108.3756593072,37
Kansas,Alaska,596577.1735391826,37
Kentucky,Alaska,720405.4770509453,37
Louisiana,Alaska,687227.821476983,37
Maine,Alaska,851148.0631570515,37
Maryland,Alaska,965293.6874490582,37
Massachusetts,Alaska,833728.5484628675,37
Michigan,Alaska,697156.9994800311,37
Minnesota,Alaska,606404.3999881598,37
Mississippi,Alaska,700125.8942911625,37
Missouri,Alaska,1453250.4688239396,37
Montana,Alaska,459143.21792334033,37
Nebraska,Alaska,571148.6871297176,37
Nevada,Alaska,433907.4114554855,37
New Hampshire,Alaska,832327.6093227954,37
New Jersey,Alaska,811957.3536830613,37
New Mexico,Alaska,548731.3799410418,37
New York,Alaska,796028.1375711539,37
North Carolina,Alaska,782687.9808767987,37
North Dakota,Alaska,544121.8291752316,37
Ohio,Alaska,734417.6967870531,37
Oklahoma,Alaska,617443.3832644091,37
Oregon,Alaska,375708.16520538914,37
Pennsylvania,Alaska,780054.9025626337,37
Rhode Island,Alaska,837702.5953934964,37
South Carolina,Alaska,774885.8208665326,37
South Dakota,Alaska,556283.1580454329,37
Tennessee,Alaska,894685.3428205919,37
Texas,Alaska,621745.5605663783,37
Utah,Alaska,475626.7140741781,37
Vermont,Alaska,820860.9037955212,37
Virginia,Alaska,780762.4740758229,37
Washington,Alaska,359392.7962285833,37
West Virginia,Alaska,760333.7110775767,37
Wisconsin,Alaska,652486.4769824735,37
Wyoming,Alaska,494425.6697259963,37
Alabama,Arizona,248764.631177746,13
Alaska,Arizona,503737.0662170891,13
Arizona,Arizona,0.0,0
Arkansas,Arizona,192275.79309939148,13
California,Arizona,83338.51597550798,13
Colorado,Arizona,77243.94707677748,13
Connecticut,Arizona,396201.5217865777,13
Delaware,Arizona,1042164.226268106,13
Florida,Arizona,297507.46502566955,13
Georgia,Arizona,282648.0695440887,13
Hawaii,Arizona,468485.32710641,13
Idaho,Arizona,1007042.9689670644,13
Illinois,Arizona,231922.30746092537,13
Indiana,Arizona,259933.73963377663,13
Iowa,Arizona,1026075.5231877428,13
Kansas,Arizona,139339.72173432814,13
Kentucky,Arizona,265589.7196240848,13
Louisiana,Arizona,199229.64885026525,13
Maine,Arizona,438444.6449404988,13
Maryland,Arizona,462400.0616025046,13
Massachusetts,Arizona,406440.32189855375,13
Michigan,Arizona,281160.7595824852,13
Minnesota,Arizona,211031.70228664696,13
Mississippi,Arizona,220461.13076005032,13
Missouri,Arizona,1024957.2519963942,13
Montana,Arizona,129380.5528276951,13
Nebraska,Arizona,139117.78375534882,13
Nevada,Arizona,70893.44909792441,13
New Hampshire,Arizona,411680.5769064166,13
New Jersey,Arizona,374575.8086756271,13
New Mexico,Arizona,55491.8688187738,13
New York,Arizona,371611.9723475012,13
